SEA Analysis Data Result,,,,,,,,,,,,,,,,,,,,,,,,,,,
File:,20 11 2015 15-55-34.accdb,,,,,,,,,,,,,,,,,,,,,,,,,,
Method:,90C,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample:,5000 rpm energy with dummy area,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Mass (mg):,7,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,
n/nm,Solvent Name,Unit,En. (Stz Max),En. (Stz Com),En. (Pol Max),En. (Pol Com),Interpolated Retention Volume (Max),Interpolated Retention Volume (Com),Column Temperature [Kelvin],,,,,,,,,,,,,,,,,,
0.07,DICHLOROMETHANE,dG (kJ/Mol),18.51563459,17.88555071,18.91011299,18.32789844,868.8956045,805.6014734,363.152851,,,,,,,,,,,,,,,,,,
0.07,ETHYL ACETATE,dG (kJ/Mol),8.951745243,12.00669014,7.396600861,10.26518199,81.35649343,281.3462327,363.1556359,,,,,,,,,,,,,,,,,,
0.07,"1,4-DIOXANE",dG (kJ/Mol),7.992138759,10.22879228,10.22995205,12.73567179,181.6370055,548.0397368,363.1522475,,,,,,,,,,,,,,,,,,
0.09,NONANE,dG (kJ/Mol),,,,,1182.122556,3176.659087,363.1521169,,,,,,,,,,,,,,,,,,
0.09,OCTANE,dG (kJ/Mol),,,,,340.9620419,854.6833206,363.1508922,,,,,,,,,,,,,,,,,,
0.09,HEPTANE,dG (kJ/Mol),,,,,116.9149438,250.8301496,363.1505228,,,,,,,,,,,,,,,,,,
0.09,HEXANE,dG (kJ/Mol),,,,,44.42022053,74.63020083,363.1518535,,,,,,,,,,,,,,,,,,
0.09,DICHLOROMETHANE,dG (kJ/Mol),19.25997631,18.63016786,19.62835666,19.05447284,1147.050689,1054.855365,363.152851,,,,,,,,,,,,,,,,,,
0.09,ETHYL ACETATE,dG (kJ/Mol),8.574342642,11.39140082,7.08883302,9.69555019,71.28274998,228.9036792,363.1556359,,,,,,,,,,,,,,,,,,
0.09,"1,4-DIOXANE",dG (kJ/Mol),7.730271561,9.517075552,9.855243103,11.94857282,156.6815647,416.7128601,363.1522475,,,,,,,,,,,,,,,,,,
0.1,NONANE,dG (kJ/Mol),,,,,1038.709668,2930.883384,363.1521169,,,,,,,,,,,,,,,,,,
